continent,location,date,population,new_vaccinations,Progressive_Vaccination,popvsvacci
Asia,Afghanistan,5/27/2021,41128772,2859,2859,0.01
Asia,Afghanistan,6/3/2021,41128772,4015,6874,0.02
Asia,Afghanistan,1/27/2022,41128772,6868,13742,0.03
Asia,Afghanistan,4/27/2022,41128772,383,14125,0.03
Asia,Afghanistan,9/12/2022,41128772,9447,23572,0.06
Asia,Afghanistan,11/2/2022,41128772,36587,60159,0.15
Asia,Afghanistan,11/16/2022,41128772,14800,74959,0.18
Europe,Albania,1/13/2021,2842318,60,60,0
Europe,Albania,1/14/2021,2842318,78,138,0
Europe,Albania,1/15/2021,2842318,42,180,0.01
Europe,Albania,1/16/2021,2842318,61,241,0.01
Europe,Albania,1/17/2021,2842318,36,277,0.01
Europe,Albania,1/18/2021,2842318,42,319,0.01
Europe,Albania,1/19/2021,2842318,36,355,0.01
Europe,Albania,1/20/2021,2842318,36,391,0.01
Europe,Albania,1/21/2021,2842318,30,421,0.01
Europe,Albania,2/18/2021,2842318,1348,1769,0.06
Europe,Albania,2/19/2021,2842318,1128,2897,0.1
Europe,Albania,3/23/2021,2842318,3461,6358,0.22
Europe,Albania,3/24/2021,2842318,2302,8660,0.3
Europe,Albania,3/25/2021,2842318,5356,14016,0.49
Europe,Albania,3/26/2021,2842318,2900,16916,0.6
Europe,Albania,3/27/2021,2842318,1827,18743,0.66
Europe,Albania,3/28/2021,2842318,13925,32668,1.15
Europe,Albania,3/31/2021,2842318,19525,52193,1.84
Europe,Albania,4/1/2021,2842318,16617,68810,2.42
Europe,Albania,4/2/2021,2842318,17023,85833,3.02
Europe,Albania,4/3/2021,2842318,13010,98843,3.48
Europe,Albania,4/4/2021,2842318,7386,106229,3.74
Europe,Albania,4/5/2021,2842318,13826,120055,4.22
Europe,Albania,4/6/2021,2842318,14880,134935,4.75
Europe,Albania,4/7/2021,2842318,10791,145726,5.13
Europe,Albania,4/8/2021,2842318,10163,155889,5.48
Europe,Albania,4/9/2021,2842318,8134,164023,5.77
Europe,Albania,4/10/2021,2842318,6134,170157,5.99
Europe,Albania,4/13/2021,2842318,13685,183842,6.47
Europe,Albania,4/16/2021,2842318,10134,193976,6.82
Europe,Albania,4/17/2021,2842318,10218,204194,7.18
Europe,Albania,4/18/2021,2842318,8065,212259,7.47
Europe,Albania,4/19/2021,2842318,13029,225288,7.93
Europe,Albania,4/20/2021,2842318,4066,229354,8.07
Europe,Albania,4/21/2021,2842318,22075,251429,8.85
Europe,Albania,4/22/2021,2842318,10923,262352,9.23
Europe,Albania,4/23/2021,2842318,8353,270705,9.52
Europe,Albania,4/24/2021,2842318,8713,279418,9.83
Europe,Albania,4/27/2021,2842318,8236,287654,10.12
Europe,Albania,4/28/2021,2842318,16773,304427,10.71
Europe,Albania,4/29/2021,2842318,19620,324047,11.4
Europe,Albania,4/30/2021,2842318,23655,347702,12.23
Europe,Albania,5/1/2021,2842318,17125,364827,12.84
Europe,Albania,5/4/2021,2842318,19886,384713,13.54
Europe,Albania,5/5/2021,2842318,19197,403910,14.21
Europe,Albania,5/6/2021,2842318,15642,419552,14.76
Europe,Albania,5/7/2021,2842318,13467,433019,15.23
Europe,Albania,5/8/2021,2842318,11073,444092,15.62
Europe,Albania,5/9/2021,2842318,3234,447326,15.74
Europe,Albania,5/10/2021,2842318,12959,460285,16.19
Europe,Albania,5/11/2021,2842318,9548,469833,16.53
Europe,Albania,5/12/2021,2842318,10169,480002,16.89
Europe,Albania,5/13/2021,2842318,5662,485664,17.09
Europe,Albania,5/14/2021,2842318,14992,500656,17.61
Europe,Albania,5/18/2021,2842318,8864,509520,17.93
Europe,Albania,5/19/2021,2842318,8864,518384,18.24
Europe,Albania,5/20/2021,2842318,5932,524316,18.45
