Location,date,total_cases,population,Case_Percentage
Cyprus,2023-01-27,642663,896007,71.7252
Cyprus,2023-01-28,642663,896007,71.7252
Cyprus,2023-01-20,640729,896007,71.5094
Cyprus,2023-01-21,640729,896007,71.5094
Cyprus,2023-01-22,640729,896007,71.5094
Cyprus,2023-01-23,640729,896007,71.5094
Cyprus,2023-01-24,640729,896007,71.5094
Cyprus,2023-01-25,640729,896007,71.5094
Cyprus,2023-01-26,640729,896007,71.5094
Cyprus,2023-01-13,638062,896007,71.2117
Cyprus,2023-01-14,638062,896007,71.2117
Cyprus,2023-01-15,638062,896007,71.2117
Cyprus,2023-01-16,638062,896007,71.2117
Cyprus,2023-01-17,638062,896007,71.2117
Cyprus,2023-01-18,638062,896007,71.2117
Cyprus,2023-01-19,638062,896007,71.2117
Cyprus,2023-01-06,634709,896007,70.8375
Cyprus,2023-01-07,634709,896007,70.8375
Cyprus,2023-01-08,634709,896007,70.8375
Cyprus,2023-01-09,634709,896007,70.8375
Cyprus,2023-01-10,634709,896007,70.8375
Cyprus,2023-01-11,634709,896007,70.8375
Cyprus,2023-01-12,634709,896007,70.8375
Cyprus,2022-12-30,631111,896007,70.4359
Cyprus,2022-12-31,631111,896007,70.4359
Cyprus,2023-01-01,631111,896007,70.4359
Cyprus,2023-01-02,631111,896007,70.4359
Cyprus,2023-01-03,631111,896007,70.4359
Cyprus,2023-01-04,631111,896007,70.4359
Cyprus,2023-01-05,631111,896007,70.4359
Cyprus,2022-12-23,628509,896007,70.1455
Cyprus,2022-12-24,628509,896007,70.1455
Cyprus,2022-12-25,628509,896007,70.1455
Cyprus,2022-12-26,628509,896007,70.1455
Cyprus,2022-12-27,628509,896007,70.1455
Cyprus,2022-12-28,628509,896007,70.1455
Cyprus,2022-12-29,628509,896007,70.1455
Cyprus,2022-12-16,625562,896007,69.8166
Cyprus,2022-12-17,625562,896007,69.8166
Cyprus,2022-12-18,625562,896007,69.8166
Cyprus,2022-12-19,625562,896007,69.8166
Cyprus,2022-12-20,625562,896007,69.8166
Cyprus,2022-12-21,625562,896007,69.8166
Cyprus,2022-12-22,625562,896007,69.8166
San Marino,2023-01-24,23403,33690,69.4657
San Marino,2023-01-25,23403,33690,69.4657
San Marino,2023-01-26,23403,33690,69.4657
San Marino,2023-01-27,23403,33690,69.4657
San Marino,2023-01-28,23403,33690,69.4657
Cyprus,2022-12-09,622102,896007,69.4305
Cyprus,2022-12-10,622102,896007,69.4305
Cyprus,2022-12-11,622102,896007,69.4305
Cyprus,2022-12-12,622102,896007,69.4305
Cyprus,2022-12-13,622102,896007,69.4305
Cyprus,2022-12-14,622102,896007,69.4305
Cyprus,2022-12-15,622102,896007,69.4305
San Marino,2023-01-17,23370,33690,69.3678
San Marino,2023-01-18,23370,33690,69.3678
San Marino,2023-01-19,23370,33690,69.3678
San Marino,2023-01-20,23370,33690,69.3678
San Marino,2023-01-21,23370,33690,69.3678
San Marino,2023-01-22,23370,33690,69.3678
San Marino,2023-01-23,23370,33690,69.3678
San Marino,2023-01-09,23290,33690,69.1303
San Marino,2023-01-10,23290,33690,69.1303
San Marino,2023-01-11,23290,33690,69.1303
San Marino,2023-01-12,23290,33690,69.1303
San Marino,2023-01-13,23290,33690,69.1303
San Marino,2023-01-14,23290,33690,69.1303
San Marino,2023-01-15,23290,33690,69.1303
San Marino,2023-01-16,23290,33690,69.1303
Cyprus,2022-12-02,618248,896007,69.0004
Cyprus,2022-12-03,618248,896007,69.0004
Cyprus,2022-12-04,618248,896007,69.0004
Cyprus,2022-12-05,618248,896007,69.0004
Cyprus,2022-12-06,618248,896007,69.0004
Cyprus,2022-12-07,618248,896007,69.0004
Cyprus,2022-12-08,618248,896007,69.0004
San Marino,2023-01-02,23176,33690,68.7919
San Marino,2023-01-03,23176,33690,68.7919
San Marino,2023-01-04,23176,33690,68.7919
San Marino,2023-01-05,23176,33690,68.7919
San Marino,2023-01-06,23176,33690,68.7919
San Marino,2023-01-07,23176,33690,68.7919
San Marino,2023-01-08,23176,33690,68.7919
Cyprus,2022-11-25,614237,896007,68.5527
Cyprus,2022-11-26,614237,896007,68.5527
Cyprus,2022-11-27,614237,896007,68.5527
Cyprus,2022-11-28,614237,896007,68.5527
Cyprus,2022-11-29,614237,896007,68.5527
Cyprus,2022-11-30,614237,896007,68.5527
Cyprus,2022-12-01,614237,896007,68.5527
San Marino,2022-12-27,23008,33690,68.2933
San Marino,2022-12-28,23008,33690,68.2933
San Marino,2022-12-29,23008,33690,68.2933
San Marino,2022-12-30,23008,33690,68.2933
San Marino,2022-12-31,23008,33690,68.2933
San Marino,2023-01-01,23008,33690,68.2933
San Marino,2022-12-26,22994,33690,68.2517
Cyprus,2022-11-18,610023,896007,68.0824
Cyprus,2022-11-19,610023,896007,68.0824
Cyprus,2022-11-20,610023,896007,68.0824
Cyprus,2022-11-21,610023,896007,68.0824
Cyprus,2022-11-22,610023,896007,68.0824
Cyprus,2022-11-23,610023,896007,68.0824
Cyprus,2022-11-24,610023,896007,68.0824
San Marino,2022-12-19,22813,33690,67.7145
San Marino,2022-12-20,22813,33690,67.7145
San Marino,2022-12-21,22813,33690,67.7145
San Marino,2022-12-22,22813,33690,67.7145
San Marino,2022-12-23,22813,33690,67.7145
San Marino,2022-12-24,22813,33690,67.7145
San Marino,2022-12-25,22813,33690,67.7145
